,,niche,niche,niche,niche,sampling,neutral,neutral,null,null
,model,trait,environment,1+grad|site,1+grad|spp,spp,spp:site,spp:region,region,site
1,m.full,■,■,■,,■,■,■,,
2,m.full2,,■,■,■,,■,■,,
3,m.neutral,,,,,■,■,■,,■
4,m.niche,■,■,■,,■,,,,
5,m.env,,■,■,■,,,,,
6,m.null,,,,,■,,,■,■
