"","Drift-Selection","Drift-Selection (no traits)","Selection","Selection (no traits)","Drift","Idyosyncratic"
"Deterministic with right traits",1,0,0,0,0,0
"Deterministic with wrong traits",0,0.82089552238806,0,0.17910447761194,0,0
"Stochastic with right traits",0.02,0,0,0,1,0
