"logLik","AICc","dLogLik","dAICc","df","weight"
"niche & neutral",-2267.1246003157,4570.82837082615,24807.5638326537,0,18,0.997871525153934
"env & neutral",-2280.45361566972,4583.12945356166,24794.2348172997,12.301082735512,11,0.00212778847981974
"neutral",-2295.58717273316,4599.20781826967,24779.1012602363,28.3794474435163,4,6.86366246249515e-07
"env",-14376.4350774063,28771.0214153168,12698.2533555631,24200.1930444907,9,0
"niche",-23360.8629423061,46754.1857324567,3713.82549066335,42183.3573616305,16,0
"null",-27074.6884329694,54157.4103387422,0,49586.5819679161,4,0
