"spp","ab.class","mean.obs","sd.obs","lwr.obs","upr.obs","mean.comb","sd.comb","mean.random","sd.random","lwr.random","upr.random","sp.rank","sp.rank.c","sp.rank.r"
"sp001","Core",9,45.2258699235828,0.0333333333333333,54.2258699235828,9.02877314237704,45.3534336235063,11.3434421629289,56.6557392012933,0.0333333333333333,65.6557392012933,21,21,12
"sp002","Occasional",0.233333333333333,1.10432795395437,0.0333333333333333,1.33766128728771,0.233033658186847,1.13146522644433,0.237749628523684,1.16204367256824,0.0333333333333333,1.39537700590157,126,126,125
"sp003","Occasional",2.86666666666667,9.18294270817417,0.0333333333333333,12.0496093748408,2.78879176855953,9.19705682799559,2.74430775425122,9.12393312137171,0.0333333333333333,11.9905997880384,52,53,39
"sp004","Occasional",3,6.55480871127292,0.0333333333333333,9.55480871127292,3.0152211368239,6.58625666423018,3.00753155242107,6.58023493843808,0.0333333333333333,9.58023493843808,49,49,31
"sp005","Occasional",2.63333333333333,11.7722154869534,0.0333333333333333,14.4055488202867,2.70739458416631,12.2149953805242,2.74342454492987,12.4038797964919,0.0333333333333333,15.0372131298252,56,56,40
"sp006","Occasional",1.53333333333333,5.98119658961968,0.0333333333333333,7.51452992295302,1.52106729643722,5.93360385978346,1.4723636586028,5.70607984631363,0.0333333333333333,7.23941317964696,69,70,63
"sp007","Occasional",0.0666666666666667,0.365148371670111,0.0333333333333333,0.431815038336777,0.0594398693159333,0.32208235324687,0.0576726219017377,0.312431755524024,0.0333333333333333,0.37909842219069,140,143,143
"sp008","Occasional",0.533333333333333,2.41737009183938,0.0333333333333333,2.95070342517271,0.509759127714809,2.30120793661592,0.522144579099673,2.36520750954145,0.0333333333333333,2.89854084287479,96,97,94
"sp009","Occasional",0.1,0.547722557505166,0.0333333333333333,0.647722557505166,0.0970791655316104,0.528445740776227,0.101999082607395,0.555421680849352,0.0333333333333333,0.655421680849352,137,139,136
"sp010","Occasional",0.766666666666667,3.49071016718151,0.0333333333333333,4.25737683384818,0.731157303527802,3.34857159321667,0.712553449195711,3.24611322717508,0.0333333333333333,4.01277989384175,86,87,86
"sp011","Occasional",0.133333333333333,0.730296743340221,0.0333333333333333,0.863630076673555,0.117443809903224,0.639923981764295,0.110954614458581,0.604358196782195,0.0333333333333333,0.737691530115528,133,136,135
"sp012","Core",16.1,53.5152894684926,0.0333333333333333,69.6152894684926,15.9954697501241,53.3870172698671,1.94733098147259,6.47710926473841,9.62289073526159,22.5771092647384,10,11,52
"sp013","Occasional",0.266666666666667,1.46059348668044,0.0333333333333333,1.72726015334711,0.258611792850424,1.41356647711331,0.254573839995816,1.39149652276817,0.0333333333333333,1.65816318943484,122,125,124
"sp014","Occasional",1.06666666666667,5.65644785168665,0.0333333333333333,6.72311451835332,1.0493317810969,5.58659159379898,1.06255010033303,5.66038702126937,0.0333333333333333,6.72705368793603,77,77,73
"sp015","Occasional",1,3.30099253621361,0.0333333333333333,4.30099253621361,0.940732703534599,3.11498956054045,0.961719367665086,3.18096194979039,0.0333333333333333,4.18096194979039,78,80,75
"sp016","Occasional",0.0333333333333333,0.182574185835055,0.0333333333333333,0.215907519168389,0.0264126738228086,0.141098077622848,0.0254429933136237,0.135786824178564,0.0333333333333333,0.169120157511898,145,153,153
"sp017","Occasional",0.2,0.805155799872897,0.0333333333333333,1.0051557998729,0.194285576800744,0.774806128721966,0.199915935205125,0.796683328537611,0.0333333333333333,0.996683328537611,130,132,130
"sp018","Occasional",0.0666666666666667,0.365148371670111,0.0333333333333333,0.431815038336777,0.0656678002796265,0.356195149738846,0.0651456401838118,0.353342544824841,0.0333333333333333,0.420009211491508,141,140,139
"sp019","Occasional",0.3,1.20773369980935,0.0333333333333333,1.50773369980935,0.298916965394863,1.20575384161963,0.303324496240885,1.21509342611872,0.0333333333333333,1.51509342611872,117,118,115
"sp020","Occasional",2.2,3.41800506446226,0.0333333333333333,5.61800506446226,2.14658416251553,3.42451414433854,2.18862999501342,3.53910750468952,0.0333333333333333,5.73910750468952,60,60,46
"sp021","Occasional",0.233333333333333,0.935260735665815,0.0333333333333333,1.16859406899915,0.218997592984604,0.896545619593576,0.216933823724926,0.88772469558689,0.0333333333333333,1.12105802892022,127,128,127
"sp022","Occasional",0.333333333333333,1.82574185835055,0.0333333333333333,2.15907519168389,0.330043000381522,1.80445285396413,0.332569190301238,1.81831797946254,0.0333333333333333,2.15165131279587,113,114,111
"sp023","Occasional",0.866666666666667,3.52071048211161,0.0333333333333333,4.38737714877828,0.836232725336915,3.45513661413377,0.843358485578855,3.52378371847311,0.0333333333333333,4.39045038513977,83,83,79
"sp024","Occasional",0.2,1.09544511501033,0.0333333333333333,1.29544511501033,0.20055761261998,1.09556118800263,0.194531835873931,1.06255317438798,0.0333333333333333,1.26255317438798,131,130,131
"sp025","Core",6.3,13.8493121950464,0.0333333333333333,20.1493121950464,6.45872293443926,14.1920414432675,1.96228033294124,5.30592964022542,0.994070359774577,11.6059296402254,31,31,51
"sp026","Occasional",0.566666666666667,1.63334506212068,0.0333333333333333,2.20001172878735,0.55081853437577,1.59524041297946,0.567560096207044,1.65478910535058,0.0333333333333333,2.22145577201725,93,94,89
"sp027","Occasional",0.0333333333333333,0.182574185835055,0.0333333333333333,0.215907519168389,0.0299717741645839,0.160869911219738,0.03071732816561,0.164929678626918,0.0333333333333333,0.198263011960251,146,148,145
"sp028","Occasional",3.73333333333333,12.8437112837462,0.0333333333333333,16.5770446170796,3.7221881079106,12.7753300611033,3.68431657663856,12.6277441297301,0.0333333333333333,16.3610774630634,43,43,25
