"logLik","AICc","dLogLik","dAICc","df","weight"
"neutral",-1961.01492939549,3930.04167562998,6690.16209201694,0,4,0.816488612430477
"env & neutral",-1955.47483572849,3933.02782421009,6695.70218568394,2.98614858010387,11,0.183449362448346
"niche & neutral",-1956.40461300161,3949.01213315244,6694.77240841082,18.9704575224569,18,6.2025121177129e-05
"env",-5741.05585270469,11500.1649598472,2910.12116870774,7570.12328421726,9,0
"niche",-8313.07709367893,16658.3154681168,338.099927733494,12728.2737924869,16,0
"null",-8651.17702141243,17310.3658596639,0,13380.3241840339,4,0
