"","conditional","fixed","random","(1+grad|site)","(1+grad|spp)","(1|spp:site)","(1|spp:region)"
"",0.987243343390689,0.169051968054854,0.818191375335835,6.65332667516532e-06,0.796809176733702,0.000949230855199973,0.020426314420258
"2.5%",0.983727690230292,0.147770881359873,0.792629764333622,4.92973966035719e-19,0.694884853784933,0.000609772104096222,0
"97.5%",0.988993647228429,0.19434357908529,0.841114670107405,6.41700809383511e-05,0.840343308102042,0.00191247519334126,0.120006298904231
