"","conditional","fixed","random","(1|site)","(1|spp:site)","(1|spp:region)"
"",0.923376363952003,0,0.923376363952003,1.54784677176619e-06,8.44327252475184e-06,0.923366372832707
"2.5%",0.922435069905778,0,0.922435069905778,0,0,0.922422062726091
"97.5%",0.929638271089486,0,0.929638271089486,6.89421226406485e-06,4.06880223381551e-05,0.929638257373069
