"","conditional","fixed","random","(1+grad|site)","(1|spp:site)","(1|spp:region)","(1|spp)"
"",0.988378673953291,0.876615531573589,0.111763142379702,1.59547080283905e-06,0.00067064765311412,2.98543511247081e-18,0.111090899255785
"2.5%",0.986947427156935,0.863559913246595,0.0996269066976625,1.0428892946039e-19,0.00054141522248593,0,0.0989267823334047
"97.5%",0.989546989366337,0.887634404377796,0.125388698492064,1.29576295315615e-05,0.000835417198392802,2.65407033358386e-17,0.12470333562892
