"species","licophyte","family","name","name_accepted","life_form","indumentum","thickness"
"sp115",0,"Polypodiaceae","Pecluma paradiseae","Pecluma paradiseae","ep","presente","membranacea"
"sp116",0,"Polypodiaceae","Pecluma recurvata","Pecluma recurvata","ep","presente","membranacea"
"sp117",0,"Polypodiaceae","Pecluma truncorum","Pecluma truncorum","ep","presente","membranacea"
"sp118",0,"Polypodiaceae","Pleopeltis astrolepis","Pleopeltis astrolepis","ep","presente","coriacea"
"sp119",0,"Polypodiaceae","Pleopeltis pleopeltifolia","Pleopeltis minima","ep","presente","coriacea"
"sp120",0,"Dryopteridaceae","Polybotrya cylindrica","Polybotrya cylindrica","hemi","presente","membranacea"
"sp121",0,"Polypodiaceae","Polypodium catharinae","Serpocaulon catharinae","ep","ausente","coriacea"
"sp122",0,"Polypodiaceae","Polypodium chnoophorum","Polypodium chnoophorum","ep","presente","membranacea"
"sp123",0,"Polypodiaceae","Polypodium fraxinifolium","Serpocaulon fraxinifolium","ep","ausente","coriacea"
"sp124",0,"Polypodiaceae","Polypodium hirsutissimum","Pleopeltis hirsutissima","ep","presente","coriacea"
"sp125",0,"Polypodiaceae","Polypodium latipes","Serpocaulon latipes","ep","ausente","coriacea"
"sp126",0,"Polypodiaceae","Polypodium pleopeltidis","Pleopeltis pleopeltidis","ep","presente","coriacea"
"sp127",0,"Pteridaceae","Polytaenium cajenense","Polytaenium cajenense","ep","ausente","coriacea"
"sp128",0,"Pteridaceae","Polytaenium lineatum","Polytaenium lineatum","ep","ausente","coriacea"
"sp129",0,"Dennstaedtiaceae","Pteridium aquilinum var. arachnoideum","Pteridium arachnoideum","ter","presente","coriacea"
"sp130",0,"Pteridaceae","Pteris angustata","Pteris angustata","ter","ausente","membranacea"
"sp131",0,"Pteridaceae","Pteris decurrens","Pteris decurrens","ter","ausente","membranacea"
"sp132",0,"Pteridaceae","Pteris deflexa","Pteris deflexa","ter","ausente","coriacea"
"sp133",0,"Pteridaceae","Pteris splendens","Pteris splendens","ter","ausente","coriacea"
"sp134",0,"Pteridaceae","Radiovittaria stipitata","Radiovittaria stipitata","ep","ausente","coriacea"
"sp135",0,"Dryopteridaceae","Rumohra adiantiformis","Rumohra adiantiformis","ep","ausente","coriacea"
"sp136",0,"Saccolomataceae","Saccoloma inaequale","Saccoloma inaequale","ter","presente","membranacea"
"sp137",0,"Blechnaceae","Salpichlaena volubilis","Salpichlaena volubilis","ep","presente","coriacea"
"sp138",0,"Schizaeaceae","Schizaea elegans","Schizaea elegans","ter","ausente","coriacea"
"sp139",1,"Selaginellaceae","Selaginella flexuosa","Selaginella flexuosa",NA,NA,NA
"sp140",1,"Selaginellaceae","Selaginella macrostachya","Selaginella macrostachya",NA,NA,NA
"sp141",1,"Selaginellaceae","Selaginella muscosa","Selaginella muscosa",NA,NA,NA
"sp142",1,"Selaginellaceae","Selaginella sulcata","Selaginella sulcata",NA,NA,NA
"sp143",0,"Dryopteridaceae","Stigmatopteris brevinervis","Stigmatopteris brevinervis","ter","ausente","membranacea"
"sp144",0,"Dryopteridaceae","Stigmatopteris caudata","Stigmatopteris caudata","ter","ausente","membranacea"
"sp145",0,"Dryopteridaceae","Stigmatopteris heterocarpa","Stigmatopteris heterocarpa","ter","ausente","membranacea"
"sp146",0,"Tectariaceae","Tectaria incisa","Tectaria incisa","ter","ausente","membranacea"
"sp147",0,"Polypodiaceae","Terpsichore reclinata","Alansmia reclinata","ep","ausente","membranacea"
"sp148",0,"Thelypteridaceae","Thelypteris decussata","Thelypteris decussata","ter","presente","coriacea"
"sp149",0,"Thelypteridaceae","Thelypteris lugubris","Thelypteris lugubris","ter",NA,NA
"sp150",0,"Thelypteridaceae","Thelypteris maxoniana","Thelypteris maxoniana","ter","presente","membranacea"
"sp151",0,"Thelypteridaceae","Thelypteris paranaensis","Thelypteris paranaensis","ter","presente","coriacea"
"sp152",0,"Thelypteridaceae","Thelypteris tamandarei","Thelypteris tamandarei","ter","presente","membranacea"
"sp153",0,"Hymenophyllaceae","Trichomanes angustatum","Polyphlebium angustatum","ep","ausente","membranacea"
"sp154",0,"Hymenophyllaceae","Trichomanes cristatum","Trichomanes cristatum","ep","presente","membranacea"
"sp155",0,"Hymenophyllaceae","Trichomanes diaphanum","Polyphlebium diaphanum","ep","ausente","membranacea"
"sp156",0,"Hymenophyllaceae","Trichomanes hymenophylloides","Polyphlebium hymenophylloides","ep","ausente","membranacea"
"sp157",0,"Hymenophyllaceae","Trichomanes krausii","Didymoglossum krausii","ep","presente","membranacea"
"sp158",0,"Hymenophyllaceae","Trichomanes pilosum","Trichomanes pilosum","ep","presente","membranacea"
"sp159",0,"Hymenophyllaceae","Trichomanes polypodioides","Trichomanes polypodioides","ep","presente","membranacea"
"sp160",0,"Hymenophyllaceae","Trichomanes pyxidiferum","Polyphlebium pyxidiferum","ep","presente","membranacea"
"sp161",0,"Hymenophyllaceae","Trichomanes radicans","Vandenboschia radicans","ep","presente","membranacea"
"sp162",0,"Hymenophyllaceae","Trichomanes reptans","Didymoglossum reptans","ep","presente","membranacea"
"sp163",0,"Hymenophyllaceae","Trichomanes rigidum","Abrodictyum rigidum","ter","ausente","membranacea"
"sp164",0,"Pteridaceae","Vittaria graminifolia","Vittaria graminifolia","ep","ausente","coriacea"
"sp165",0,"Pteridaceae","Vittaria lineata","Vittaria lineata","ep","ausente","coriacea"
"sp166",0,"Pteridaceae","Vittaria scabrida","Vittaria scabrida","ep","ausente","coriacea"
